Empirical,Analytical,n,RunTime
1.0,1.0,1,0.04491400718688965
1.414227780929501,1.4142135623730951,2,0.05000710487365723
1.731913491130293,1.7320508075688772,3,0.05902409553527832
1.9995728128383532,2.0,4,0.07906985282897949
2.2351246608505457,2.23606797749979,5,0.10870695114135742
2.447852588819416,2.449489742783178,6,0.14225292205810547
2.646171669110952,2.6457513110645907,7,0.26767897605895996
2.827338388882198,2.8284271247461903,8,0.3274819850921631
3.0009002931595283,3.0,9,0.504676103591919
3.2143693929034804,3.1622776601683795,10,0.25356316566467285
3.3154598551622376,3.3166247903554,11,1.2323760986328125
3.460029812384626,3.4641016151377544,12,1.0554280281066895
3.5925116136789734,3.605551275463989,13,1.1877989768981934
3.7376827785999183,3.7416573867739413,14,2.3394432067871094
3.8702230809762828,3.872983346207417,15,3.712451219558716
4.000213354572355,4.0,16,4.584083795547485
4.137659925751772,4.123105625617661,17,5.348417043685913
4.231016240935734,4.242640687119285,18,7.529810905456543
4.3549755769209515,4.358898943540674,19,9.297245979309082
4.4955239911724805,4.47213595499958,20,12.620435237884521
